key;en

stage.alcove;Alcove
stage.alcove.description;A place from another time.
stage.alcove.sign;EVEN MONSTERS NEED A QUIET SPOT
stage.alcove.artifact;Dew
stage.alcove.artifact.plural;Dews
stage.arctic;Arctic
stage.arctic.description;Drift ever toward subzero.
stage.arctic.sign;HELP! IT IS VERY COLD HERE!
stage.arctic.artifact;Icicle
stage.arctic.artifact.plural;Icicles
stage.ash;Ash
stage.ash.description;The meadow of departed souls.
stage.ash.sign;WHERE ARE ALL THE FLOWERS?
stage.ash.artifact;Soot
stage.ash.artifact.plural;Soots
stage.b;B
stage.b.description;Zone data not found.
stage.b.sign;N ISRO
stage.b.artifact;Bluevein
stage.b.artifact.plural;Blueveins
stage.birthday;Birthday
stage.birthday.description;I hope you brought gifts.
stage.birthday.sign;FOR HE'S A JOLLY GOOD DEMON
stage.birthday.artifact;Cake
stage.birthday.artifact.plural;Cakes
stage.blight;Blight
stage.blight.description;The black root of reality takes hold.
stage.blight.sign;KEEP AWAY (I'M FULL OF TERMITES)
stage.blight.artifact;Rot
stage.blight.artifact.plural;Rots
stage.bloodway;Bloodway
stage.bloodway.description;Through the bloody river of time.
stage.bloodway.sign;MILES TO GO.
stage.bloodway.artifact;Ichor
stage.bloodway.artifact.plural;Ichors
stage.blossom;Blossom
stage.blossom.description;We exist outside of time.
stage.blossom.sign;IT IS NOT SAFE HERE
stage.blossom.artifact;Petal
stage.blossom.artifact.plural;Petals
stage.brink;Brink
stage.brink.description;In pursuit of the void.
stage.brink.sign;THIS IS NOT THE END
stage.brink.artifact;Corestone
stage.brink.artifact.plural;Corestones
stage.cavern;Cavern
stage.cavern.description;Power through the darkness.
stage.cavern.sign;WATCH YOUR HEAD
stage.cavern.artifact;Ore
stage.cavern.artifact.plural;Ores
stage.chicken-coop;Chicken Coop
stage.chicken-coop.sign;BE CAREFUL WHO YOU TRUST
stage.christmas;Christmas
stage.christmas.description;Santa's domain.
stage.christmas.sign;SANTA'S WATCHING
stage.christmas.artifact;Snowball
stage.christmas.artifact;Snowballs
stage.convoy;Convoy
stage.convoy.description;Aboard the starship.
stage.convoy.sign;WELCOME UNIT 7R-V39! WE HOPE YOU SLEPT SOUNDLY
stage.convoy.artifact;Oil
stage.convoy.artifact.plural;Oil
stage.crypt;Crypt
stage.crypt.description;The source of the darkness...
stage.crypt.sign;SECRET STAGE 02
stage.crypt.artifact;Worm
stage.crypt.artifact.plural;Worms
stage.default;Default
stage.default.description;No nonsense.
stage.default.sign;None
stage.delta;Delta
stage.delta.description;The truth that lies below.
stage.delta.sign;COSTS ONE PENNY TO CROSS OVER. NO REFUNDS.
stage.delta.artifact;Teardrop
stage.delta.artifact.plural;Teardrops
stage.desert;Desert
stage.desert.description;Endure the blistering sun.
stage.desert.sign;HAS ANYONE SEEN THE OASIS?
stage.desert.artifact;Cactus
stage.desert.artifact.plural;Cacti
stage.doom;Doom
stage.doom.description;Forever... nothing.
stage.doom.sign;SECRET STAGE 04
stage.doom.artifact;Guts
stage.doom.artifact.plural;Guts
stage.dungeon;Dungeon
stage.dungeon.description;The source of the darkness...
stage.dungeon.sign;YOU WILL NOT MAKE IT OUT OF HERE ALIVE
stage.dungeon.artifact;Cobweb
stage.dungeon.artifact.plural;Cobwebs
stage.easter;Easter
stage.easter.description;The land of egg and bunny.
stage.easter.sign;TIP: RABBITS DON'T LAY EGGS
stage.easter.artifact;Lily
stage.easter.artifact.plural;Lilies
stage.elysium;Elysium
stage.elysium.description;Gods, too, must fall.
stage.elysium.sign;PROPERTY OF ZEUS. DO NOT TOUCH
stage.elysium.artifact;Wing
stage.elysium.artifact.plural;Wings
stage.entropy;Entropy
stage.entropy.description;).noisulli na si raW
stage.entropy.sign;WHERE AM I?
stage.entropy.artifact;Antimatter
stage.entropy.artifact.plural;Antimatter
stage.farm;Farm
stage.farm.description;Evil is at your door.
stage.farm.sign;BE CAREFUL WHO YOU TRUST
stage.farm.artifact;Wheat
stage.farm.artifact.plural;Wheat
stage.forest;Forest
stage.forest.description;The journey begins here.
stage.forest.sign;BEWARE: MONSTERS NEARBY
stage.forest.artifact;Log
stage.forest.artifact.plural;Logs
stage.fungus;Fungus
stage.fungus.description;A different kind of forest.
stage.fungus.sign;DO NOT BREATHE IN THE SPORES!!
stage.fungus.artifact;Spore
stage.fungus.artifact.plural;Spores
stage.g;G
stage.g.description;Zone data not found.
stage.g.sign;OD
stage.g.artifact;Greenvein
